,ind,id,timestp,url,curr_price
133,134,1,2021-10-18 02:38:45,https://www.amazon.com/dp/B0919XS2W7,49.0
134,135,2,2021-10-18 02:38:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
135,136,3,2021-10-18 02:38:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
136,137,1,2021-10-18 02:48:45,https://www.amazon.com/dp/B0919XS2W7,49.0
137,138,2,2021-10-18 02:48:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
138,139,3,2021-10-18 02:48:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
139,140,1,2021-10-18 02:58:45,https://www.amazon.com/dp/B0919XS2W7,49.0
140,141,2,2021-10-18 02:58:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
141,142,3,2021-10-18 02:58:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
142,143,1,2021-10-18 03:08:45,https://www.amazon.com/dp/B0919XS2W7,49.0
143,144,2,2021-10-18 03:08:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
144,145,3,2021-10-18 03:08:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
145,146,1,2021-10-18 03:18:45,https://www.amazon.com/dp/B0919XS2W7,49.0
146,147,2,2021-10-18 03:18:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
147,148,3,2021-10-18 03:18:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
148,149,1,2021-10-18 15:58:44,https://www.amazon.com/dp/B0919XS2W7,49.0
149,150,2,2021-10-18 15:58:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
150,151,3,2021-10-18 15:58:44,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
151,152,1,2021-10-18 16:18:45,https://www.amazon.com/dp/B0919XS2W7,49.0
152,153,2,2021-10-18 16:18:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
153,154,3,2021-10-18 16:18:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
154,155,1,2021-10-18 16:28:44,https://www.amazon.com/dp/B0919XS2W7,49.0
155,156,2,2021-10-18 16:28:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
156,157,3,2021-10-18 16:28:44,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
157,158,1,2021-10-18 16:38:45,https://www.amazon.com/dp/B0919XS2W7,49.0
158,159,2,2021-10-18 16:38:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
159,160,3,2021-10-18 16:38:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
160,161,1,2021-10-18 16:48:44,https://www.amazon.com/dp/B0919XS2W7,49.0
161,162,2,2021-10-18 16:48:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
162,163,3,2021-10-18 16:48:44,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
163,164,1,2021-10-18 16:58:45,https://www.amazon.com/dp/B0919XS2W7,49.0
164,165,2,2021-10-18 16:58:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
165,166,3,2021-10-18 16:58:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
166,167,1,2021-10-18 17:28:44,https://www.amazon.com/dp/B0919XS2W7,49.0
167,168,2,2021-10-18 17:28:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
168,169,3,2021-10-18 17:28:44,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
169,170,1,2021-10-18 17:38:44,https://www.amazon.com/dp/B0919XS2W7,49.0
170,171,2,2021-10-18 17:38:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
171,172,3,2021-10-18 17:38:44,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
172,173,1,2021-10-18 19:08:45,https://www.amazon.com/dp/B0919XS2W7,49.0
173,174,2,2021-10-18 19:08:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
174,175,3,2021-10-18 19:08:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
175,176,1,2021-10-18 19:18:44,https://www.amazon.com/dp/B0919XS2W7,49.0
176,177,2,2021-10-18 19:18:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
177,178,3,2021-10-18 19:18:44,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
178,179,1,2021-10-18 19:28:44,https://www.amazon.com/dp/B0919XS2W7,49.0
179,180,2,2021-10-18 19:28:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
180,181,3,2021-10-18 19:28:44,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
181,182,1,2021-10-18 19:58:45,https://www.amazon.com/dp/B0919XS2W7,49.0
182,183,2,2021-10-18 19:58:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
183,184,3,2021-10-18 19:58:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
184,185,1,2021-10-18 20:08:44,https://www.amazon.com/dp/B0919XS2W7,49.0
